prime_minister_candidate_name,county,num,total_vote_count,offline_vote_count,online_vote_count
Márki-Zay Péter,Komárom-Esztergom,1,1125,812,313
Jakab Péter,Komárom-Esztergom,1,865,730,135
Fekete-Győr András,Komárom-Esztergom,1,177,120,57
Dobrev Klára,Komárom-Esztergom,2,1953,1768,185
Jakab Péter,Komárom-Esztergom,2,1208,1001,207
Márki-Zay Péter,Komárom-Esztergom,2,983,559,424
Karácsony Gergely,Komárom-Esztergom,2,872,563,309
Fekete-Győr András,Komárom-Esztergom,2,136,74,62
Dobrev Klára,Komárom-Esztergom,3,2340,2173,167
Jakab Péter,Komárom-Esztergom,3,1367,1177,190
Karácsony Gergely,Komárom-Esztergom,3,1054,843,211
Márki-Zay Péter,Komárom-Esztergom,3,854,601,253
Fekete-Győr András,Komárom-Esztergom,3,131,97,34
Dobrev Klára,Nógrád,1,2288,2120,168
Karácsony Gergely,Nógrád,1,962,785,177
Jakab Péter,Nógrád,1,688,556,132
Márki-Zay Péter,Nógrád,1,577,380,197
Fekete-Győr András,Nógrád,1,150,107,43
Dobrev Klára,Nógrád,2,1044,865,179
Márki-Zay Péter,Nógrád,2,552,235,317
Karácsony Gergely,Nógrád,2,483,295,188
Jakab Péter,Nógrád,2,295,151,144
Fekete-Győr András,Nógrád,2,65,24,41
Dobrev Klára,Pest,1,3216,2944,272
Karácsony Gergely,Pest,1,2644,2081,563
Márki-Zay Péter,Pest,1,2250,1671,579
Jakab Péter,Pest,1,828,679,149
Fekete-Győr András,Pest,1,371,259,112
Karácsony Gergely,Pest,2,4649,3433,1216
Márki-Zay Péter,Pest,2,3434,2412,1022
Dobrev Klára,Pest,2,3271,2921,350
Jakab Péter,Pest,2,758,607,151
Fekete-Győr András,Pest,2,605,428,177
Karácsony Gergely,Pest,3,3095,2118,977
Dobrev Klára,Pest,3,2584,2239,345
Márki-Zay Péter,Pest,3,2419,1644,775
Jakab Péter,Pest,3,779,607,172
Fekete-Győr András,Pest,3,608,484,124
Dobrev Klára,Pest,4,1897,1718,179
Karácsony Gergely,Pest,4,1551,1207,344
Márki-Zay Péter,Pest,4,1344,958,386
Jakab Péter,Pest,4,755,625,130
Fekete-Győr András,Pest,4,246,182,64
Dobrev Klára,Pest,5,3489,3138,351
Karácsony Gergely,Pest,5,3183,2412,771
Márki-Zay Péter,Pest,5,2491,1822,669
Jakab Péter,Pest,5,1030,843,187
Fekete-Győr András,Pest,5,431,293,138
Dobrev Klára,Pest,6,2394,2103,291
Karácsony Gergely,Pest,6,2009,1423,586
Márki-Zay Péter,Pest,6,1944,1327,617
Jakab Péter,Pest,6,922,699,223
Fekete-Győr András,Pest,6,416,290,126
Dobrev Klára,Pest,7,2509,2248,261
Karácsony Gergely,Pest,7,1520,1113,407
Márki-Zay Péter,Pest,7,1488,1056,432
Jakab Péter,Pest,7,1093,872,221
Fekete-Győr András,Pest,7,265,176,89
Dobrev Klára,Pest,8,3459,3168,291
Karácsony Gergely,Pest,8,1644,1226,418
Márki-Zay Péter,Pest,8,1579,1110,469
Jakab Péter,Pest,8,1224,995,229
Fekete-Győr András,Pest,8,289,195,94
Dobrev Klára,Pest,9,1133,976,157
Jakab Péter,Pest,9,604,401,203
Karácsony Gergely,Pest,9,573,374,199
Márki-Zay Péter,Pest,9,506,273,233
Fekete-Győr András,Pest,9,62,31,31
Dobrev Klára,Pest,10,1694,1541,153
Karácsony Gergely,Pest,10,942,746,196
Márki-Zay Péter,Pest,10,690,439,251
Jakab Péter,Pest,10,654,505,149
Fekete-Győr András,Pest,10,89,58,31
Dobrev Klára,Pest,11,1489,1276,213
Márki-Zay Péter,Pest,11,1039,669,370
Karácsony Gergely,Pest,11,1034,690,344
Jakab Péter,Pest,11,653,480,173
Fekete-Győr András,Pest,11,178,93,85
Dobrev Klára,Pest,12,1359,1222,137
Jakab Péter,Pest,12,916,771,145
Márki-Zay Péter,Pest,12,706,470,236
Karácsony Gergely,Pest,12,649,471,178
Fekete-Győr András,Pest,12,98,62,36
Dobrev Klára,Somogy,1,2099,1942,157
Karácsony Gergely,Somogy,1,1093,837,256
Márki-Zay Péter,Somogy,1,885,609,276
Jakab Péter,Somogy,1,792,649,143
Fekete-Győr András,Somogy,1,139,88,51
Jakab Péter,Somogy,2,1487,1342,145
Dobrev Klára,Somogy,2,1325,1227,98
Karácsony Gergely,Somogy,2,421,298,123
Márki-Zay Péter,Somogy,2,361,223,138
Fekete-Győr András,Somogy,2,48,33,15
Dobrev Klára,Somogy,3,1323,1205,118
Jakab Péter,Somogy,3,859,717,142
Karácsony Gergely,Somogy,3,550,377,173
Márki-Zay Péter,Somogy,3,537,313,224
Fekete-Győr András,Somogy,3,52,27,25
Dobrev Klára,Somogy,4,1855,1670,185
Jakab Péter,Somogy,4,1024,899,125
Karácsony Gergely,Somogy,4,798,579,219
Márki-Zay Péter,Somogy,4,718,456,262
Fekete-Győr András,Somogy,4,183,145,38
Dobrev Klára,Szabolcs-Szatmár-Bereg,1,2211,2022,189
Karácsony Gergely,Szabolcs-Szatmár-Bereg,1,1330,976,354
Márki-Zay Péter,Szabolcs-Szatmár-Bereg,1,1068,671,397
Jakab Péter,Szabolcs-Szatmár-Bereg,1,952,789,163
Fekete-Győr András,Szabolcs-Szatmár-Bereg,1,142,90,52
Dobrev Klára,Szabolcs-Szatmár-Bereg,2,1187,1094,93
Jakab Péter,Szabolcs-Szatmár-Bereg,2,647,450,197
Karácsony Gergely,Szabolcs-Szatmár-Bereg,2,551,373,178
